,KeggID,REFERENCE
615,gn:T00578,PMID:25998264
616,gn:T00579,PMID:19307556
617,gn:T00580,PMID:17557839
618,gn:T00581,
619,gn:T00582,PMID:17704766
620,gn:T00583,PMID:19047403
621,gn:T00584,PMID:19756146
622,gn:T00585,
623,gn:T00586,PMID:20221447
624,gn:T00587,PMID:19000309
625,gn:T00588,PMID:17954695
626,gn:T00589,
627,gn:T00590,PMID:18676672
628,gn:T00591,PMID:18676672
629,gn:T00592,
630,gn:T00593,
631,gn:T00594,PMID:17720781
632,gn:T00595,
633,gn:T00596,PMID:20174598
634,gn:T00597,PMID:17873037
635,gn:T00598,PMID:18159947
636,gn:T00599,PMID:17895969
637,gn:T00600,PMID:18159241
638,gn:T00601,
639,gn:T00602,
640,gn:T00603,PMID:16481489
641,gn:T00604,PMID:18025092
642,gn:T00605,PMID:17916642
643,gn:T00606,
644,gn:T00607,
645,gn:T00608,
646,gn:T00609,PMID:18522759
647,gn:T00610,
648,gn:T00611,
649,gn:T00612,PMID:19741735
650,gn:T00613,PMID:19474814
651,gn:T00614,PMID:22675585
652,gn:T00615,
653,gn:T00616,PMID:18159947
654,gn:T00617,PMID:18252824
655,gn:T00618,PMID:19307556
656,gn:T00619,
657,gn:T00620,PMID:15240283
658,gn:T00621,
659,gn:T00622,
660,gn:T00623,PMID:19346311
661,gn:T00624,
662,gn:T00625,PMID:17993529
663,gn:T00626,PMID:20421470
664,gn:T00627,
665,gn:T00628,
666,gn:T00629,PMID:17986343
667,gn:T00630,PMID:18048332
668,gn:T00631,PMID:19775431
669,gn:T00632,
670,gn:T00633,PMID:18031983
671,gn:T00634,PMID:17965706
672,gn:T00635,PMID:20061468
673,gn:T00636,PMID:18037886
674,gn:T00637,PMID:18826580
675,gn:T00638,PMID:19346311
676,gn:T00639,
677,gn:T00640,
678,gn:T00641,PMID:18723615
679,gn:T00642,PMID:17434157
680,gn:T00643,PMID:18025092
681,gn:T00644,PMID:18197260
682,gn:T00645,PMID:18032721
683,gn:T00646,PMID:18032721
684,gn:T00647,PMID:18192279
685,gn:T00648,
686,gn:T00649,
687,gn:T00650,
688,gn:T00651,
689,gn:T00652,
690,gn:T00653,PMID:18441057
691,gn:T00654,PMID:20174598
692,gn:T00655,PMID:18845759
693,gn:T00656,PMID:18296527
694,gn:T00657,PMID:19543527
695,gn:T00658,
696,gn:T00659,PMID:21784942
697,gn:T00660,PMID:18350144
698,gn:T00661,PMID:18263572
699,gn:T00662,PMID:18313895
700,gn:T00663,PMID:18281406
701,gn:T00664,
702,gn:T00665,
703,gn:T00666,PMID:18245285
704,gn:T00667,PMID:18350144
705,gn:T00668,PMID:18535141
706,gn:T00669,
707,gn:T00670,PMID:18060065
708,gn:T00671,PMID:18060065
709,gn:T00672,PMID:18708504
710,gn:T00673,PMID:22111657
711,gn:T00674,PMID:22887658
712,gn:T00675,
713,gn:T00676,
714,gn:T00677,PMID:20601474
715,gn:T00678,PMID:18192393
716,gn:T00679,PMID:22887658
717,gn:T00680,
718,gn:T00681,
719,gn:T00682,
720,gn:T00683,PMID:24167248
721,gn:T00684,
722,gn:T00685,PMID:18367281
723,gn:T00686,PMID:18812508
724,gn:T00687,PMID:16489412
725,gn:T00688,PMID:20601475
726,gn:T00689,PMID:21398538
727,gn:T00690,PMID:19361343
728,gn:T00691,PMID:18375553
729,gn:T00692,PMID:20601474
730,gn:T00693,PMID:18270594
731,gn:T00694,PMID:18403782
732,gn:T00695,PMID:16885469
733,gn:T00696,
734,gn:T00697,
735,gn:T00698,PMID:19521508
736,gn:T00699,PMID:18487258
737,gn:T00700,
738,gn:T00701,PMID:18408034
739,gn:T00702,PMID:18490699
740,gn:T00703,PMID:18478107
741,gn:T00704,PMID:25197461
742,gn:T00705,PMID:18508905
743,gn:T00706,PMID:21952543
744,gn:T00707,PMID:18505588
745,gn:T00707,PMID:16391088
746,gn:T00708,PMID:22616984
747,gn:T00709,
748,gn:T00710,PMID:18411315
749,gn:T00711,PMID:18462403
750,gn:T00712,PMID:18270594
751,gn:T00713,PMID:23463784
752,gn:T00714,PMID:18524787
753,gn:T00715,PMID:19136599
754,gn:T00716,PMID:18482458
755,gn:T00717,
756,gn:T00718,PMID:18419807
757,gn:T00719,PMID:18550617
758,gn:T00720,
759,gn:T00721,PMID:18556790
760,gn:T00722,
761,gn:T00723,PMID:20348264
762,gn:T00724,PMID:18573899
763,gn:T00725,
764,gn:T00726,
765,gn:T00727,PMID:18593465
766,gn:T00728,PMID:18586945
767,gn:T00729,PMID:18582369
768,gn:T00730,PMID:20023027
769,gn:T00731,
770,gn:T00732,
771,gn:T00733,
772,gn:T00734,PMID:11442348
773,gn:T00735,PMID:18487258
774,gn:T00736,
775,gn:T00737,
776,gn:T00738,PMID:21602358
777,gn:T00739,PMID:21602358
778,gn:T00740,PMID:18524931
779,gn:T00741,PMID:19270133
780,gn:T00742,PMID:21124785
